Image_ID,File_Name,GT_Total_Px,GT_Limb_Px,GT_Eroded_Annulus_Px,Dice_093_Whole,Rec_093_Whole,Dice_093_Limb,Rec_093_Limb,Dice_097_Whole,Rec_097_Whole,Dice_097_Limb,Rec_097_Limb,Dice_100_Whole,Rec_100_Whole,Dice_100_Limb,Rec_100_Limb
010402-20150125172714Mh,20150125172714Mh.jpeg,773,0,0,0.6993,0.5550,1.0000,0.0000,0.6839,0.5304,1.0000,0.0000,0.6817,0.5278,1.0000,0.0000
010401-20130319144654Bh,20130319144654Bh.jpeg,724,0,0,0.7498,0.7472,1.0000,0.0000,0.7333,0.6989,1.0000,0.0000,0.7290,0.6782,1.0000,0.0000
030302-20171121222130Lh,20171121222130Lh.jpeg,1166,0,0,0.6893,0.7238,1.0000,0.0000,0.7030,0.7187,1.0000,0.0000,0.7300,0.7281,1.0000,0.0000
010202-20150819082014Th,20150819082014Th.jpeg,61,0,0,0.3492,0.9016,1.0000,0.0000,0.3506,0.8852,1.0000,0.0000,0.3915,0.9016,1.0000,0.0000
030302-20140501195814Mh,20140501195814Mh.jpeg,831,0,0,0.5632,0.8905,1.0000,0.0000,0.6557,0.8845,1.0000,0.0000,0.6630,0.8809,1.0000,0.0000
060102-20151019223534Lh,20151019223534Lh.jpeg,1869,0,0,0.7279,0.7485,1.0000,0.0000,0.7385,0.7239,1.0000,0.0000,0.7399,0.7261,1.0000,0.0000
040102-20150315082034Lh,20150315082034Lh.jpeg,1481,0,0,0.6894,0.7380,1.0000,0.0000,0.6850,0.6995,1.0000,0.0000,0.6797,0.6907,1.0000,0.0000
050303-20151105133734Ch,20151105133734Ch.jpeg,478,0,0,0.6645,0.8703,1.0000,0.0000,0.6939,0.8536,1.0000,0.0000,0.6869,0.8515,1.0000,0.0000
050103-20131229112414Th,20131229112414Th.jpeg,638,0,0,0.6029,0.7759,1.0000,0.0000,0.6130,0.7696,1.0000,0.0000,0.6877,0.7524,1.0000,0.0000
010202-20171103222630Lh,20171103222630Lh.jpeg,307,0,0,0.3290,0.2085,1.0000,0.0000,0.3239,0.2052,1.0000,0.0000,0.3247,0.2052,1.0000,0.0000
010402-20190412025430Lh,20190412025430Lh.jpeg,77,0,0,0.8000,0.8571,1.0000,0.0000,0.8148,0.8571,1.0000,0.0000,0.8250,0.8571,1.0000,0.0000
020403-20140212024554Uh,20140212024554Uh.jpeg,1201,0,0,0.8244,0.8718,1.0000,0.0000,0.8304,0.8560,1.0000,0.0000,0.8272,0.8468,1.0000,0.0000
040401-20160619133714Th,20160619133714Th.jpeg,837,0,0,0.6402,0.6069,1.0000,0.0000,0.6899,0.7085,1.0000,0.0000,0.7094,0.7145,1.0000,0.0000
020101-20160518011654Uh,20160518011654Uh.jpeg,364,0,0,0.5235,0.3819,1.0000,0.0000,0.4913,0.3489,1.0000,0.0000,0.5066,0.3681,1.0000,0.0000
010302-20111223085314Th,20111223085314Th.jpeg,1429,0,0,0.7403,0.8936,1.0000,0.0000,0.7680,0.8698,1.0000,0.0000,0.7628,0.8293,1.0000,0.0000
010201-20120910074014Th,20120910074014Th.jpeg,574,0,0,0.7199,0.8240,1.0000,0.0000,0.7375,0.8223,1.0000,0.0000,0.7393,0.8153,1.0000,0.0000
020401-20111018063134Lh,20111018063134Lh.jpeg,1674,0,0,0.7844,0.7401,1.0000,0.0000,0.7797,0.7461,1.0000,0.0000,0.7799,0.7312,1.0000,0.0000
050103-20120720085114Th,20120720085114Th.jpeg,516,0,0,0.5616,0.4419,1.0000,0.0000,0.5067,0.3682,1.0000,0.0000,0.5027,0.3643,1.0000,0.0000
010403-20150221155154Bh,20150221155154Bh.jpeg,1164,0,0,0.7506,0.7552,1.0000,0.0000,0.7396,0.7285,1.0000,0.0000,0.7218,0.7234,1.0000,0.0000
030101-20160127225034Lh,20160127225034Lh.jpeg,2273,0,0,0.6814,0.5618,1.0000,0.0000,0.6652,0.5332,1.0000,0.0000,0.6524,0.5174,1.0000,0.0000
010102-20171101133730Ch,20171101133730Ch.jpeg,186,0,0,0.7602,0.8011,1.0000,0.0000,0.7277,0.7903,1.0000,0.0000,0.7817,0.7796,1.0000,0.0000
010102-20171008144250Bh,20171008144250Bh.jpeg,226,0,0,0.7560,0.8363,1.0000,0.0000,0.7341,0.8186,1.0000,0.0000,0.7295,0.7876,1.0000,0.0000
040102-20171109023950Uh,20171109023950Uh.jpeg,244,0,0,0.7292,0.7172,1.0000,0.0000,0.7292,0.7172,1.0000,0.0000,0.7303,0.7213,1.0000,0.0000
020101-20170722235230Lh,20170722235230Lh.jpeg,324,0,0,0.6864,0.8241,1.0000,0.0000,0.6921,0.8117,1.0000,0.0000,0.6869,0.8025,1.0000,0.0000
060102-20160809164914Mh,20160809164914Mh.jpeg,1308,0,0,0.6931,0.6606,1.0000,0.0000,0.6898,0.6460,1.0000,0.0000,0.6860,0.6330,1.0000,0.0000
050103-20110517164514Mh,20110517164514Mh.jpeg,112,0,0,0.6733,0.6071,1.0000,0.0000,0.6415,0.6071,1.0000,0.0000,0.6535,0.5893,1.0000,0.0000
010101-20210222222850Bh,20210222222850Bh.jpeg,54,0,0,0.2462,0.1481,1.0000,0.0000,0.2540,0.1481,1.0000,0.0000,0.0364,0.0185,1.0000,0.0000
040301-20140701195814Mh,20140701195814Mh.jpeg,517,0,0,0.6202,0.9381,1.0000,0.0000,0.6445,0.9381,1.0000,0.0000,0.6471,0.9381,1.0000,0.0000
010403-20160225173314Mh,20160225173314Mh.jpeg,375,0,0,0.6708,0.8587,1.0000,0.0000,0.6834,0.8347,1.0000,0.0000,0.6840,0.8400,1.0000,0.0000
030403-20180506140230Ch,20180506140230Ch.jpeg,172,0,0,0.5420,0.8256,1.0000,0.0000,0.6157,0.8430,1.0000,0.0000,0.6271,0.8605,1.0000,0.0000
010102-20130903060834Lh,20130903060834Lh.jpeg,1499,0,0,0.8546,0.8706,1.0000,0.0000,0.8482,0.8312,1.0000,0.0000,0.8405,0.8192,1.0000,0.0000
010102-20120215153654Bh,20120215153654Bh.jpeg,2582,0,0,0.6322,0.7033,1.0000,0.0000,0.6441,0.6766,1.0000,0.0000,0.6388,0.6274,1.0000,0.0000
050102-20121027165114Mh,20121027165114Mh.jpeg,2185,0,0,0.6987,0.6920,1.0000,0.0000,0.6925,0.6746,1.0000,0.0000,0.6928,0.6746,1.0000,0.0000
020401-20141013195834Ch,20141013195834Ch.jpeg,982,0,0,0.6881,0.7943,1.0000,0.0000,0.7136,0.7851,1.0000,0.0000,0.7072,0.7821,1.0000,0.0000
050103-20130719140154Bh,20130719140154Bh.jpeg,1175,0,0,0.6260,0.6774,1.0000,0.0000,0.6437,0.6826,1.0000,0.0000,0.6571,0.6826,1.0000,0.0000
010203-20170310133730Ch,20170310133730Ch.jpeg,335,0,0,0.5610,0.5284,1.0000,0.0000,0.4855,0.4000,1.0000,0.0000,0.4935,0.3970,1.0000,0.0000
010101-20171011170310Mh,20171011170310Mh.jpeg,87,0,0,0.2844,0.3448,1.0000,0.0000,0.2791,0.3448,1.0000,0.0000,0.2927,0.3448,1.0000,0.0000
010203-20170222133710Th,20170222133710Th.jpeg,50,0,0,0.3140,0.9200,1.0000,0.0000,0.3206,0.9200,1.0000,0.0000,0.3387,0.8400,1.0000,0.0000
010401-20121113103634Ch,20121113103634Ch.jpeg,787,0,0,0.6742,0.6811,1.0000,0.0000,0.6862,0.6531,1.0000,0.0000,0.6870,0.6442,1.0000,0.0000
040301-20130502063134Lh,20130502063134Lh.jpeg,1324,0,0,0.5185,0.4826,1.0000,0.0000,0.5207,0.4653,1.0000,0.0000,0.5043,0.4396,1.0000,0.0000
040302-20120914063134Lh,20120914063134Lh.jpeg,442,0,0,0.7087,0.6991,1.0000,0.0000,0.7005,0.6561,1.0000,0.0000,0.7122,0.6606,1.0000,0.0000
050103-20120715123434Ch,20120715123434Ch.jpeg,679,0,0,0.7960,0.8733,1.0000,0.0000,0.7994,0.8365,1.0000,0.0000,0.8047,0.8041,1.0000,0.0000
040401-20171115222230Lh,20171115222230Lh.jpeg,409,0,0,0.7207,0.7506,1.0000,0.0000,0.7194,0.7335,1.0000,0.0000,0.7121,0.7408,1.0000,0.0000
010402-20111009110234Ch,20111009110234Ch.jpeg,1015,0,0,0.4683,0.3310,1.0000,0.0000,0.4619,0.3222,1.0000,0.0000,0.4624,0.3212,1.0000,0.0000
050101-20180202130330Ch,20180202130330Ch.jpeg,229,0,0,0.6476,0.5939,1.0000,0.0000,0.6345,0.5459,1.0000,0.0000,0.6313,0.5459,1.0000,0.0000
050303-20141001195834Ch,20141001195834Ch.jpeg,2748,0,0,0.8009,0.8417,1.0000,0.0000,0.8092,0.8406,1.0000,0.0000,0.8062,0.8228,1.0000,0.0000
010101-20150626161514Mh,20150626161514Mh.jpeg,997,12,0,0.6414,0.5777,0.8889,1.0000,0.6574,0.5667,0.8000,0.6667,0.6381,0.5446,0.9091,0.8333
050103-20110502063154Uh,20110502063154Uh.jpeg,1324,0,0,0.6190,0.5921,1.0000,0.0000,0.6113,0.5778,1.0000,0.0000,0.6140,0.5725,1.0000,0.0000
030101-20140720195834Ch,20140720195834Ch.jpeg,1239,0,0,0.7506,0.9048,1.0000,0.0000,0.7783,0.8644,1.0000,0.0000,0.7858,0.8604,1.0000,0.0000
010101-20110203082634Lh,20110203082634Lh.jpeg,284,0,0,0.4492,0.5211,1.0000,0.0000,0.4654,0.5211,1.0000,0.0000,0.4744,0.5211,1.0000,0.0000
010401-20140413195914Mh,20140413195914Mh.jpeg,2160,0,0,0.7312,0.8009,1.0000,0.0000,0.7332,0.8009,1.0000,0.0000,0.7366,0.7912,1.0000,0.0000
040102-20140603070414Th,20140603070414Th.jpeg,1036,0,0,0.5881,0.4865,1.0000,0.0000,0.6251,0.5270,1.0000,0.0000,0.6271,0.5203,1.0000,0.0000
050202-20130616070414Th,20130616070414Th.jpeg,1057,0,0,0.6751,0.7342,1.0000,0.0000,0.6673,0.6764,1.0000,0.0000,0.6774,0.6793,1.0000,0.0000
060403-20141012195854Bh,20141012195854Bh.jpeg,1635,0,0,0.7125,0.6777,1.0000,0.0000,0.7202,0.6642,1.0000,0.0000,0.7192,0.6673,1.0000,0.0000
020403-20120331142954Bh,20120331142954Bh.jpeg,1168,0,0,0.7877,0.8134,1.0000,0.0000,0.7793,0.7817,1.0000,0.0000,0.7858,0.7945,1.0000,0.0000
010202-20180112130330Ch,20180112130330Ch.jpeg,195,7,0,0.7891,0.8923,0.7059,0.8571,0.8018,0.9231,0.7059,0.8571,0.7732,0.9179,0.7059,0.8571
010402-20110215083814Th,20110215083814Th.jpeg,777,0,0,0.6347,0.5032,1.0000,0.0000,0.6201,0.4801,1.0000,0.0000,0.6366,0.4994,1.0000,0.0000
050103-20141214201834Ch,20141214201834Ch.jpeg,2329,0,0,0.6993,0.6415,0.0000,0.0000,0.6898,0.6028,1.0000,0.0000,0.6899,0.6067,1.0000,0.0000
020101-20160309172214Mh,20160309172214Mh.jpeg,1242,0,0,0.7444,0.8301,1.0000,0.0000,0.7330,0.8269,1.0000,0.0000,0.7386,0.8237,1.0000,0.0000
010101-20110918112834Ch,20110918112834Ch.jpeg,1641,0,0,0.7460,0.6990,1.0000,0.0000,0.7395,0.6685,1.0000,0.0000,0.7342,0.6581,1.0000,0.0000
050101-20130719140154Bh,20130719140154Bh.jpeg,1563,0,0,0.6564,0.6155,1.0000,0.0000,0.6833,0.6296,1.0000,0.0000,0.6914,0.6257,1.0000,0.0000
010401-20131007075314Th,20131007075314Th.jpeg,918,0,0,0.6337,0.8366,1.0000,0.0000,0.6564,0.8322,1.0000,0.0000,0.6649,0.8301,1.0000,0.0000
040401-20151128133714Th,20151128133714Th.jpeg,269,0,0,0.5417,0.4349,1.0000,0.0000,0.3692,0.2677,1.0000,0.0000,0.3526,0.2491,1.0000,0.0000
020403-20110510063134Lh,20110510063134Lh.jpeg,639,0,0,0.7406,0.7840,1.0000,0.0000,0.7627,0.7746,1.0000,0.0000,0.7670,0.7574,1.0000,0.0000
060403-20211222120130Ch,20211222120130Ch.jpeg,703,0,0,0.6967,0.7368,1.0000,0.0000,0.7143,0.7255,1.0000,0.0000,0.7165,0.7226,1.0000,0.0000
060403-20130601063154Uh,20130601063154Uh.jpeg,1025,0,0,0.7817,0.9327,1.0000,0.0000,0.7892,0.8859,1.0000,0.0000,0.7875,0.8732,1.0000,0.0000
060102-20130423072414Th,20130423072414Th.jpeg,205,0,0,0.5757,0.8537,1.0000,0.0000,0.6049,0.8439,1.0000,0.0000,0.6221,0.8390,1.0000,0.0000
010203-20141004075414Th,20141004075414Th.jpeg,2318,0,0,0.7690,0.7502,1.0000,0.0000,0.7617,0.7213,1.0000,0.0000,0.7541,0.7097,1.0000,0.0000
010101-20131128192214Mh,20131128192214Mh.jpeg,811,0,0,0.5141,0.5265,1.0000,0.0000,0.5221,0.5018,1.0000,0.0000,0.5192,0.4920,1.0000,0.0000
010403-20210817165030Mh,20210817165030Mh.jpeg,228,0,0,0.8017,0.8070,1.0000,0.0000,0.7955,0.7763,1.0000,0.0000,0.8143,0.7982,1.0000,0.0000
050102-20110517164514Mh,20110517164514Mh.jpeg,139,0,0,0.5590,0.4604,1.0000,0.0000,0.5021,0.4317,1.0000,0.0000,0.4803,0.3957,1.0000,0.0000
040102-20161223133734Ch,20161223133734Ch.jpeg,716,0,0,0.5669,0.4735,1.0000,0.0000,0.5312,0.4162,1.0000,0.0000,0.5321,0.4162,1.0000,0.0000
040102-20210731074710Th,20210731074710Th.jpeg,373,0,0,0.6184,0.8579,1.0000,0.0000,0.6500,0.8713,1.0000,0.0000,0.6599,0.8740,1.0000,0.0000
010102-20171027223030Lh,20171027223030Lh.jpeg,1461,0,0,0.6816,0.6133,1.0000,0.0000,0.6708,0.5907,1.0000,0.0000,0.6423,0.5421,1.0000,0.0000
060403-20160107133714Th,20160107133714Th.jpeg,134,0,0,0.3673,0.4030,1.0000,0.0000,0.3827,0.3955,1.0000,0.0000,0.3750,0.3806,1.0000,0.0000
010401-20140205180154Bh,20140205180154Bh.jpeg,1219,0,0,0.7434,0.8400,1.0000,0.0000,0.7544,0.8228,1.0000,0.0000,0.7492,0.7990,1.0000,0.0000
010401-20120913165314Mh,20120913165314Mh.jpeg,214,0,0,0.5878,0.6729,1.0000,0.0000,0.6275,0.6729,1.0000,0.0000,0.6078,0.6589,1.0000,0.0000
010203-20120729122634Ch,20120729122634Ch.jpeg,2219,0,0,0.5826,0.6219,1.0000,0.0000,0.5774,0.5944,1.0000,0.0000,0.5721,0.5773,1.0000,0.0000
010102-20140312081114Th,20140312081114Th.jpeg,1601,0,0,0.7880,0.8139,1.0000,0.0000,0.7919,0.7914,1.0000,0.0000,0.7992,0.7795,1.0000,0.0000
010202-20110823120334Ch,20110823120334Ch.jpeg,409,0,0,0.7918,0.8460,1.0000,0.0000,0.7936,0.7897,1.0000,0.0000,0.7577,0.7262,1.0000,0.0000
050103-20120810121634Ch,20120810121634Ch.jpeg,1111,0,0,0.7771,0.8488,1.0000,0.0000,0.7875,0.8290,1.0000,0.0000,0.7893,0.8227,1.0000,0.0000
050103-20181101230010Mh,20181101230010Mh.jpeg,56,0,0,0.5778,0.4643,1.0000,0.0000,0.5909,0.4643,1.0000,0.0000,0.5977,0.4643,1.0000,0.0000
010302-20180926014350Uh,20180926014350Uh.jpeg,75,0,0,0.7939,0.6933,1.0000,0.0000,0.7154,0.5867,1.0000,0.0000,0.7317,0.6000,1.0000,0.0000
050303-20150620082014Th,20150620082014Th.jpeg,1530,0,0,0.6968,0.8621,1.0000,0.0000,0.6963,0.8503,1.0000,0.0000,0.7084,0.8386,1.0000,0.0000
030403-20111214132434Ch,20111214132434Ch.jpeg,269,0,0,0.8469,0.8327,1.0000,0.0000,0.8555,0.8364,1.0000,0.0000,0.8593,0.8290,1.0000,0.0000
040301-20120223152054Bh,20120223152054Bh.jpeg,1374,0,0,0.7954,0.9156,1.0000,0.0000,0.8060,0.9068,1.0000,0.0000,0.8121,0.8916,1.0000,0.0000
040401-20131115185414Mh,20131115185414Mh.jpeg,1099,0,0,0.6296,0.7889,1.0000,0.0000,0.6419,0.7616,1.0000,0.0000,0.6503,0.7370,1.0000,0.0000
020101-20160201025254Uh,20160201025254Uh.jpeg,1808,0,0,0.6785,0.6134,1.0000,0.0000,0.6775,0.6128,1.0000,0.0000,0.6738,0.6067,1.0000,0.0000
010403-20170804140650Bh,20170804140650Bh.jpeg,171,0,0,0.5056,0.3977,1.0000,0.0000,0.5111,0.4035,1.0000,0.0000,0.5166,0.4094,1.0000,0.0000
060403-20160925165814Mh,20160925165814Mh.jpeg,1302,0,0,0.6704,0.5991,1.0000,0.0000,0.5727,0.4585,1.0000,0.0000,0.5429,0.4201,1.0000,0.0000
020101-20161109171714Mh,20161109171714Mh.jpeg,616,0,0,0.6834,0.8377,1.0000,0.0000,0.6897,0.8247,1.0000,0.0000,0.6991,0.8166,1.0000,0.0000
010401-20110215083814Th,20110215083814Th.jpeg,409,0,0,0.5787,0.6112,1.0000,0.0000,0.5796,0.5917,1.0000,0.0000,0.6087,0.6333,1.0000,0.0000
050101-20150216171714Mh,20150216171714Mh.jpeg,1569,0,0,0.7823,0.8164,1.0000,0.0000,0.7780,0.7916,1.0000,0.0000,0.7777,0.7948,1.0000,0.0000
040201-20210814044930Lh,20210814044930Lh.jpeg,558,0,0,0.3035,0.2276,1.0000,0.0000,0.2845,0.1864,1.0000,0.0000,0.2566,0.1649,1.0000,0.0000
050103-20140210180154Bh,20140210180154Bh.jpeg,1952,0,0,0.7798,0.8202,1.0000,0.0000,0.7869,0.8115,1.0000,0.0000,0.7812,0.8048,1.0000,0.0000
010402-20210223222830Ch,20210223222830Ch.jpeg,455,0,0,0.6696,0.6769,1.0000,0.0000,0.6796,0.6527,1.0000,0.0000,0.6909,0.6484,1.0000,0.0000
030101-20110617063134Lh,20110617063134Lh.jpeg,678,0,0,0.4285,0.6386,1.0000,0.0000,0.4481,0.6209,1.0000,0.0000,0.4553,0.6121,1.0000,0.0000
010402-20180306081810Th,20180306081810Th.jpeg,383,0,0,0.7323,0.8251,1.0000,0.0000,0.7023,0.7728,1.0000,0.0000,0.7075,0.7546,1.0000,0.0000
010102-20190626025430Lh,20190626025430Lh.jpeg,129,0,0,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000
020101-20190927165910Mh,20190927165910Mh.jpeg,94,0,0,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000
040301-20120901114934Ch,20120901114934Ch.jpeg,1570,0,0,0.5787,0.4917,1.0000,0.0000,0.5738,0.4694,1.0000,0.0000,0.5768,0.4618,1.0000,0.0000
030101-20110902073614Th,20110902073614Th.jpeg,694,0,0,0.7254,0.6470,1.0000,0.0000,0.7387,0.6499,1.0000,0.0000,0.7244,0.6210,1.0000,0.0000
060403-20151116201114Mh,20151116201114Mh.jpeg,1601,0,0,0.6755,0.6502,1.0000,0.0000,0.6486,0.5915,1.0000,0.0000,0.6413,0.5522,1.0000,0.0000
010403-20130517063134Lh,20130517063134Lh.jpeg,622,0,0,0.7336,0.8344,1.0000,0.0000,0.7479,0.7846,1.0000,0.0000,0.7502,0.7797,1.0000,0.0000
010102-20151122172614Mh,20151122172614Mh.jpeg,1310,0,0,0.8330,0.8053,1.0000,0.0000,0.8345,0.7855,1.0000,0.0000,0.8334,0.7885,1.0000,0.0000
030101-20140816072814Th,20140816072814Th.jpeg,1342,0,0,0.7122,0.5790,1.0000,0.0000,0.6766,0.5261,1.0000,0.0000,0.6611,0.5052,1.0000,0.0000
010403-20111229063154Uh,20111229063154Uh.jpeg,536,0,0,0.7161,0.6754,1.0000,0.0000,0.7037,0.6623,1.0000,0.0000,0.6958,0.6530,1.0000,0.0000
020101-20210812044930Lh,20210812044930Lh.jpeg,100,0,0,0.5109,0.7000,1.0000,0.0000,0.6826,0.5700,1.0000,0.0000,0.6013,0.4600,1.0000,0.0000
040102-20160604163414Mh,20160604163414Mh.jpeg,1292,0,0,0.6899,0.6347,1.0000,0.0000,0.6643,0.5782,1.0000,0.0000,0.6442,0.5464,1.0000,0.0000
050101-20170609133710Th,20170609133710Th.jpeg,376,0,0,0.8819,0.9335,1.0000,0.0000,0.8790,0.9176,1.0000,0.0000,0.8921,0.9122,1.0000,0.0000
010401-20141106195854Bh,20141106195854Bh.jpeg,1080,0,0,0.7596,0.7824,1.0000,0.0000,0.7472,0.7648,1.0000,0.0000,0.7329,0.7481,1.0000,0.0000
060403-20180301050430Lh,20180301050430Lh.jpeg,362,0,0,0.8880,0.8867,1.0000,0.0000,0.8883,0.8785,1.0000,0.0000,0.8835,0.8481,1.0000,0.0000
